"id","name","number_of_review"
"3314819","Basement: Mountainside Private Room & Private Bath","1448"
"2411109","Victorian Cottage Downtown - ""Blue Room""","1253"
"2296152","Victorian Cottage Downtown - ""Green Room Aerie”","1136"
"881707","West A'ville sanctuary in the trees","1096"
"6054250","The Rad Pad—Quiet Modern Nest 2 Blocks off Haywood","1052"
"7418991","""Studio C"" Downtown Spacious with Private parking!","1019"
"3220474","Guest Room: Mountainside Private Room & Pvt. Bath","956"
"2326086","Downtown Artist Loft","908"
"18151750","Gashes Fluss Haus","903"
"23859316","Lake View House 2.8 Miles to Downtown","899"
"8782463","Apartment 1 mile from  Downtown Asheville","886"
"7947839","Romantic & Bohemian Private Studio","863"
"23150406","The Flint Street House downtown Historic Montford","856"
"13206560","Downtown Loft with Balcony","835"
"6290666","Nestled Garden Oasis with Mountain Views Downtown!","831"
"660702","Cozy Asheville Retreat","823"
"483384","Romantic, Moroccan-Influenced Cottage","820"
"17155164","Garden Oasis with Serene Mountain View Downtown!","820"
"40274759","Pod at Sweet Peas Hostel","815"
"22486185","Tiny Home in Asheville - new hot tub and back deck","805"
"13093505","Heart of Downtown with Parking - Bright, Historic","800"
"14168464","""B Flat"" Downtown! Private parking!","798"
"14357005","The Lavender Room","772"
"21947972","Houz Zen: A Pet Friendly Private Suite","772"
"23516374","Charming Cottage- Overlooking&Walk DT AVL- Hot Tub","767"
"1066156","Lucky W Cottage- #1 Host in US","764"
"4895765","Beautiful Kenilworth Jewel","753"
"17826503","Charland Chalet - Family Friendly Guesthouse","746"
"27156940","Cottage in the Trees- Walk Downtown AVL- Hot Tub","743"
"23523473","Tiny House [Fenced in yard, 10mins to Downtown]","741"
"22511514","AVL Sunshine Daydream House 6 Miles from Downtown","733"
"29073142","One Mile To Downtown Asheville, Pet Friendly","729"
"32424479","Biltmore Village Bungalow in Asheville","724"
"16810083","Asheville Central and River Arts Adjacent","722"
"3040444","Private Suite Walk to Downtown","711"
"942934","""ZenShe"" ... Very Clean, Quiet and Convenient","697"
"5114762","Stay in the  heart of  West Asheville","683"
"20663042","Private lower level suite","680"
"15530268","Wooded Sanctuary | 5 Mins to Downtown Asheville","677"
"3649639","Cheerful Home In Historic Downtown Asheville","670"
"21176027","The Little Red Porch","668"
"4448604","Private & Cozy Mini Suite - 2 miles N. of downtown","659"
"14934441","Nanny's Place! HOT TUB and 2 fire pits!","653"
"12763722","Mountain View’s  with Hot Tub & Firepit","642"
"32607516","Private North Asheville Bungalow No Cleaning fees","636"
"35737803","Heavenly Tree House! Close to Biltmore","629"
"16024372","Cozy Tiny House Cabin Near Downtown and Blue Ridge","621"
"8362668","Private floor, stroll to W. AVL","602"
"23558686","Spacious & Cozy Oasis in West Asheville","602"
"840696","❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore","600"
"36241169","Private, New & Walkable to Haywood Rd & River Arts","590"
"4108784","Everything Zen Asheville","589"
"23480306","Asheville East Retreat","589"
"12543684","10 Minutes to Downtown & Biltmore, Next to Parkway","588"
"38101783","Cozy Wooded Cabin, Spa Hot Tub, Close to Biltmore","588"
"41800927","City Access Country Charm w/ Hot Tub and King","588"
"15091721","DOWNTOWN! Seconds from it all!","587"
"21693285","Budget Pet Friendly GuestSuite, 10 min to DT AVL","585"
"17310280","Tiny House - Giant Views","582"
"26038824","**Asheville's Good Vibes Pet Friendly Suite**","582"
